상호명,도로명주소,경도,위도
커피로스팅하우스,서울특별시 성북구 장월로 81,127.0488267,37.6131811
생활회관,서울특별시 성북구 안암로 25,127.0252573,37.580014
몽클락,서울특별시 성북구 오패산로17길 21-18,127.0349836,37.6074377
더플롯커피&플라워,서울특별시 성북구 보문로29길 119,127.0122842,37.58534093
모아,서울특별시 성북구 북악산로29길 5,127.0349087,37.59257138
나우커피,서울특별시 성북구 돌곶이로 220,127.0465311,37.61898439
공차,서울특별시 성북구 종암로 120,127.034437,37.60102281
개화가배,서울특별시 성북구 고려대로7길 32,127.0207196,37.587385
한월당,서울특별시 성북구 지봉로23길 4,127.018783,37.58540314
우리들cafe,서울특별시 성북구 동소문로46길 10,127.029366,37.6068626
일레브커피,서울특별시 성북구 동소문로 52,127.0115378,37.59064785
타이완밀카,서울특별시 성북구 아리랑로 17,127.0158412,37.59438647
민님,서울특별시 성북구 보문로30길 74-1,127.0199845,37.5908089
메가엠지씨커피,서울특별시 성북구 종암로 98,127.0347078,37.59897749
빽다방정릉,서울특별시 성북구 보국문로 50,127.0100796,37.60886602
메가엠지씨커피정릉,서울특별시 성북구 보국문로 36,127.0104872,37.60766767
디폴트커피공방,서울특별시 성북구 보문로38길 11,127.0148216,37.5916566
쏭다방&포차,서울특별시 성북구 보국문로28길 2,127.0055613,37.61618235
디졸브,서울특별시 성북구 화랑로42길 40,127.0643667,37.61384939
메가엠지씨커피한성대입구역점,서울특별시 성북구 동소문로 9,127.0070426,37.58911652
커피볶는부엌,서울특별시 성북구 보문로38길 11,127.0148216,37.5916566
얌저트,서울특별시 성북구 동소문로20다길 31,127.018411,37.59216966
빽다방월곡,서울특별시 성북구 오패산로 46,127.0387096,37.60747258
카페프리헷,서울특별시 성북구 월곡로14길 9,127.0415257,37.60061509
이앤강파트너스,서울특별시 성북구 아리랑로 20,127.0162489,37.59463869
산기가,서울특별시 성북구 아리랑로 27-5,127.0154904,37.5952785
메일빈,서울특별시 성북구 솔샘로4길 50,127.0076107,37.60855987
감나무집,서울특별시 성북구 도봉로3가길 1,127.0290617,37.61053871
카페진,서울특별시 성북구 보문로30라길 22,127.0185803,37.58980903
다올커피,서울특별시 성북구 화랑로48길 16,127.068999,37.61375667
하심당,서울특별시 성북구 동소문로 179-50,127.020734,37.59849423
팔팔구일,서울특별시 성북구 보문로13길 8,127.021612,37.58025799
깡통속별별이야기,서울특별시 성북구 장위로 129,127.0510697,37.61371173
텐퍼센트커피정릉뉴타운점,서울특별시 성북구 정릉로 307,127.0177456,37.60328799
쉬즈베이글커피,서울특별시 성북구 장월로1길 60,127.044881,37.60604683
컴포즈커피꿈의숲,서울특별시 성북구 돌곶이로40길 46,127.049624,37.61982105
로스디아스,서울특별시 성북구 동소문로22길 67,127.0188861,37.59016938
컴포즈커피정릉,서울특별시 성북구 보국문로 11,127.0111664,37.60562236
달콤한송이,서울특별시 성북구 고려대로17가길 77,127.0225203,37.58892537
카페뮬,서울특별시 성북구 동소문로22길 64,127.0185125,37.59026855
스타인하우스,서울특별시 성북구 동소문로26다길 12-2,127.0204045,37.59435874
카페쏙,서울특별시 성북구 장월로1길 66,127.044609,37.60582169
밑줄,서울특별시 성북구 삼선교로23가길 25,127.0131115,37.58959353
놀숲,서울특별시 성북구 보문로34길 62,127.0188636,37.59083612
다음,서울특별시 성북구 성북로26길 35,126.9935343,37.59563072
리이케커피,서울특별시 성북구 보문로34가길 24,127.0202681,37.59251173
빛의화실,서울특별시 성북구 동소문로 92,127.0154897,37.5921881
아이노우,서울특별시 성북구 고려대로7가길 6,127.0214325,37.58625864
모리커피서울,서울특별시 성북구 동소문로22길 48,127.0182635,37.59098037
읍천리382정릉점,서울특별시 성북구 정릉로 251,127.0119137,37.6047213
더텐,서울특별시 성북구 창경궁로 322-6,127.0053894,37.58776512
스튜디오공지/Studio0g,서울특별시 성북구 화랑로 299,127.0608101,37.61365306
카페보다,서울특별시 성북구 서경로 97,127.0133531,37.61146055
카페나우어데이즈,서울특별시 성북구 아리랑로19길 20,127.0122871,37.60260393
빽다방북서울꿈의숲점,서울특별시 성북구 돌곶이로 220,127.0465311,37.61898439
각자의취향,서울특별시 성북구 동소문로17길 15,127.0148558,37.59313422
야킨,서울특별시 성북구 길음로 119,127.0152673,37.6118117
더블유카페,서울특별시 성북구 오패산로3길 72,127.0348586,37.60654576
이디피,서울특별시 성북구 보문로21길 44,127.0182616,37.58306965
메가커피북한산정릉점,서울특별시 성북구 보국문로 167,127.0018915,37.61665999
코지밀,서울특별시 성북구 동소문로26길 6,127.0192494,37.59413369
아빠손나무,서울특별시 성북구 보문로34길 96,127.0206527,37.59114216
시저지,서울특별시 성북구 화랑로32길 59,127.0577137,37.60797838
커피수공업,서울특별시 성북구 고려대로 51,127.0250783,37.58641109
메가엠지씨커피정릉뉴타운점,서울특별시 성북구 정릉로 307,127.0178702,37.6032249
마이셰프,서울특별시 성북구 고려대로24가길 14-1,127.0303652,37.5851845
LettertoLatte,서울특별시 성북구 길음로9길 50,127.0209503,37.60269281
설빙,서울특별시 성북구 동소문로22길 36,127.0179806,37.59145794
이지티,서울특별시 성북구 안암로 145,127.0316913,37.58869802
메가엠지씨커피성북,서울특별시 성북구 보문로 161,127.0165646,37.58874616
엘마드레,서울특별시 성북구 성북로8길 14,127.0045404,37.5910718
탐앤탐스한성대점,서울특별시 성북구 동소문로 48,127.0110056,37.59034157
슬로미,서울특별시 성북구 동소문로32길 7-3,127.0219111,37.59673709
펠어커피초코,서울특별시 성북구 동소문로17길 17,127.0149125,37.59325134
언더그라운드커피웍스,서울특별시 성북구 정릉로6길 23,126.99513,37.61008269
메가커피동소문점,서울특별시 성북구 아리랑로 14,127.0163959,37.59397194
따뜻한하루에,서울특별시 성북구 고려대로30길 8,127.0310448,37.58592313
코지코튼,서울특별시 성북구 북악산로29길 40,127.0346376,37.59408512
무인카페차다방,서울특별시 성북구 한천로68길 39,127.0658692,37.60946074
컴포즈커피안암성북천점,서울특별시 성북구 고려대로7길 74,127.0191688,37.58880884
카페오비스포퍼스트커피랩보문동,서울특별시 성북구 안암로3길 41,127.0228008,37.58066321
메가엠지씨커피장위뉴타운점,서울특별시 성북구 돌곶이로40길 46,127.049624,37.61982105
체리온루프탑,서울특별시 성북구 고려대로24가길 1,127.0295274,37.58532887
케이드,서울특별시 성북구 성북로16길 14,127.0002831,37.59400912
오뜨,서울특별시 성북구 삼선교로16길 116,127.0103932,37.58323279
목영동,서울특별시 성북구 정릉로36길 36,127.0167602,37.60240516
성북동과일카페138,서울특별시 성북구 동소문로23길 8-10,127.0181171,37.59426901
니모스,서울특별시 성북구 성북로8길 26-1,127.0052085,37.59140513
다아는커피,서울특별시 성북구 한천로76길 33-18,127.0645464,37.61214642
늘,서울특별시 성북구 성북로14길 3,127.001053,37.59359466
투썸플레이스,서울특별시 성북구 아리랑로 8,127.0166563,37.59360249
반달,서울특별시 성북구 장월로23길 5-10,127.0478318,37.61587546
리멤버투데이,서울특별시 성북구 솔샘로5길 62,127.0023444,37.61073148
유즈리스어덜트,서울특별시 성북구 보문로18길 25,127.0226089,37.58247425
이삐커피고대,서울특별시 성북구 고려대로 100,127.0304222,37.58619359
고려대학교교육관cafepurpur,서울특별시 성북구 안암로 145,127.0316913,37.58869802
컴포즈커피길음롯데캐슬클라시아점,서울특별시 성북구 숭인로8길 80,127.027102,37.60944898
넉넉커피,서울특별시 성북구 화랑로25길 28,127.0519051,37.60982811
투썸플레이스보문역점,서울특별시 성북구 보문로 125,127.0186473,37.58611495
고종의뜰-굼터/더듀얼로스터즈,서울특별시 성북구 보국문로20길 18,127.0095364,37.61213666
라운드테이블,서울특별시 성북구 보문로30길 40-2,127.0196444,37.58922321
병과점임오반,서울특별시 성북구 동소문로17길 27,127.0151616,37.59361171
파스쿠찌,서울특별시 성북구 동소문로 115-1,127.0176074,37.5935483
카페그림살롱,서울특별시 성북구 정릉로26길 20,127.01137,37.60393749
이오육,서울특별시 성북구 성북로26길 13,126.9943157,37.59496403
메이븐커피스토어,서울특별시 성북구 북악산로31길 34,127.0351018,37.59403093
카페샘,서울특별시 성북구 화랑로15길 26-6,127.0450732,37.60556923
츄스,서울특별시 성북구 삼선교로16길 35,127.0121375,37.58801689
레이첼의티룸,서울특별시 성북구 동소문로34길 24,127.0241203,37.60007933
카페애일,서울특별시 성북구 고려대로24길 3-44,127.0298447,37.58596849
커피프롬,서울특별시 성북구 아리랑로 53,127.0145509,37.59738694
꿈나눔카페,서울특별시 성북구 오패산로3길 83,127.0342132,37.60682526
킨폭스커피,서울특별시 성북구 보국문로 87-22,127.0078488,37.61183045
스프레드,서울특별시 성북구 성북로6가길 1,127.0046649,37.59033298
쥬시,서울특별시 성북구 돌곶이로 63,127.0583263,37.60932055
이립스,서울특별시 성북구 고려대로7길 84-7,127.0189199,37.58942155
심플커피,서울특별시 성북구 장위로 106,127.0484419,37.61354165
제뉴어리피크닉,서울특별시 성북구 창경궁로43길 26,127.0041553,37.58913468
공차,서울특별시 성북구 동소문로22길 4,127.0173242,37.59280052
오버스토리,서울특별시 성북구 선잠로2다길 13-13,126.999615,37.5987213
어버드커피,서울특별시 성북구 화랑로 177-1,127.0500801,37.60749533
디엔에이벤처스제삼호,서울특별시 성북구 동소문로 315,127.0287438,37.60840345
동네커피,서울특별시 성북구 길음로13길 22,127.0193213,37.6094415
정릉동커피,서울특별시 성북구 솔샘로6길 36-16,127.0071237,37.60870406
이디야커피,서울특별시 성북구 월계로40길 7,127.0484027,37.62294798
카페파파고,서울특별시 성북구 종암로 12,127.0366971,37.59144459
카페샐,서울특별시 성북구 보국문로 59,127.0094342,37.60964994
오감공간,서울특별시 성북구 정릉로38다길 34,127.016794,37.6017114
빽다방성신여대입구역점,서울특별시 성북구 동소문로20나길 3,127.0167805,37.59197168
카페그린릿지,서울특별시 성북구 보문로30길 76,127.0200299,37.59088097
토야푸드빌,서울특별시 성북구 성북로2길 4,127.00625,37.58886429
모블러,서울특별시 성북구 동소문로26다길 26,127.0204839,37.59504348
행운마트,서울특별시 성북구 안암로9가길 80-1,127.0284055,37.58252705
라미카페,서울특별시 성북구 정릉로10길 22,127.0003398,37.60775823
소일,서울특별시 성북구 보문로32길 40,127.0184331,37.5900343
하나둘;둘셋,서울특별시 성북구 길음로 33,127.0220155,37.6050442
이젠;봄,서울특별시 성북구 종암로9길 30,127.0338911,37.59591435
카페후프,서울특별시 성북구 장월로 126,127.0493047,37.61657763
달빛스테이,서울특별시 성북구 북악산로31길 39,127.0347283,37.59428331
듀드롭S,서울특별시 성북구 서경로 79,127.0145195,37.61032516
커피향기,서울특별시 성북구 장위로 77-2,127.0455766,37.61399329
이리카페,서울특별시 성북구 화랑로32길 111,127.0592523,37.60593237
오블롱,서울특별시 성북구 보문로 153,127.0172099,37.58824151
그냥그냥,서울특별시 성북구 아리랑로5길 151,127.011177,37.60064889
커피지인,서울특별시 성북구 성북로26길 64,126.9927642,37.59678395
빽다방돈암아리랑점,서울특별시 성북구 아리랑로 75,127.0136227,37.59882863
몰리고;몰리다,서울특별시 성북구 혜화로 88,126.9981883,37.59277474
김민혁커피,서울특별시 성북구 보문로30나길 36,127.0205054,37.59095297
도도화,서울특별시 성북구 아리랑로19길 97,127.0085385,37.60113565
민티,서울특별시 성북구 개운사길 21-3,127.0289281,37.5873112
미스터빈커피,서울특별시 성북구 화랑로 103,127.0430676,37.60372295
제이앤케이프레시,서울특별시 성북구 서경로 124,127.013569,37.61540685
카페스윗정릉점,서울특별시 성북구 보국문로 37,127.0098983,37.60788396
캔캔컴퍼니,서울특별시 성북구 종암로22길 34-16,127.0364638,37.60053567
이모티프커피바,서울특별시 성북구 보문로 187,127.014493,37.59040426
에셀나무,서울특별시 성북구 성북로4길 21,127.006001,37.58998153
컴포즈석관,서울특별시 성북구 돌곶이로18길 4,127.0592435,37.60907683
빽다방석계,서울특별시 성북구 한천로78길 63,127.0648645,37.61325446
성북동콩집,서울특별시 성북구 성북로 58,127.0024118,37.59287384
투영프로젝숀,서울특별시 성북구 보국문로38길 20,126.9989806,37.61891247
카페차이길음뉴타운점,서울특별시 성북구 길음로 33,127.0220155,37.6050442
아마스빈동덕여대점,서울특별시 성북구 화랑로13길 28,127.0422867,37.60459719
스터디101,서울특별시 성북구 종암로21길 128,127.0304859,37.60350162
메가엠지씨커피종암,서울특별시 성북구 종암로27길 13,127.0314368,37.60264543
커피디미방,서울특별시 성북구 솔샘로25길 20,127.0081212,37.61694804
뮈에,서울특별시 성북구 돌곶이로 205,127.046961,37.61807422
커피에반하다,서울특별시 성북구 오패산로10길 30,127.0384366,37.60513009
하이오커피돈암점,서울특별시 성북구 동소문로 186,127.0220136,37.59859311
햇살속으로,서울특별시 성북구 정릉로 346,127.0213916,37.60153045
카페프리헷,서울특별시 성북구 종암로19길 47,127.0321255,37.59783396
공차고대안암,서울특별시 성북구 안암로 145,127.0316913,37.58869802
푸른초장쉴만한물가,서울특별시 성북구 성북로 131,126.9946668,37.59432434
탐앤탐스정릉점,서울특별시 성북구 보국문로 33,127.0101247,37.60737938
복고다방,서울특별시 성북구 종암로 99,127.0341078,37.59921192
스스쿠,서울특별시 성북구 고려대로11길 65,127.020335,37.58887171
꽃이피움,서울특별시 성북구 화랑로13길 60,127.0411781,37.60681402
티앤제이카페,서울특별시 성북구 종암로21길 89,127.0316064,37.60207776
메가엠지씨커피정릉아리랑점,서울특별시 성북구 북악산로 850,127.0183901,37.59897215
알콩달콩,서울특별시 성북구 동소문로24길 27,127.0189546,37.59241284
도이타로카페,서울특별시 성북구 동소문로22길 33,127.0181505,37.59157504
투썸플레이스,서울특별시 성북구 동소문로20다길 17,127.0176976,37.59196254
숲,서울특별시 성북구 보국문로 180,127.0014498,37.61763306
빽다방종암,서울특별시 성북구 종암로 132,127.0335201,37.60191506
밀플렉스,서울특별시 성북구 성북로 76,127.0004416,37.59356763
조셉의커피나무,서울특별시 성북구 성북로31길 65,126.9886088,37.59460322
브릭스,서울특별시 성북구 보문로39길 4,127.013225,37.59142253
작은식당,서울특별시 성북구 한천로78길 19,127.0635154,37.61168748
십육페이지,서울특별시 성북구 돌곶이로 220,127.0465877,37.61889427
정이정,서울특별시 성북구 종암로 82-15,127.0359303,37.59790494
투비어라운드유,서울특별시 성북구 안암로3길 73,127.0220993,37.58191573
리틀빈스,서울특별시 성북구 화랑로11길 21,127.0415725,37.603282
위핑윌로우,서울특별시 성북구 솔샘로4길 8,127.005255,37.60854198
커피에반하다하월곡동점,서울특별시 성북구 오패산로13길 17,127.035527,37.60698705
까쉬,서울특별시 성북구 보문로34길 72-5,127.019543,37.59098017
요거프레소국민대점,서울특별시 성북구 솔샘로1길 20,127.0035562,37.60831679
르한스미니카페,서울특별시 성북구 성북로 55-1,127.0021174,37.59250444
베오베아리카페한국어교육관,서울특별시 성북구 종암로 13,127.0353274,37.59217482
빽다방길음롯데클라시아점,서울특별시 성북구 숭인로8길 80,127.027102,37.60944898
이디야커피,서울특별시 성북구 정릉로 251,127.0119137,37.6047213
성북동350,서울특별시 성북구 성북로31길 84,126.9881786,37.5942608
초코라떼꼰츄로,서울특별시 성북구 성북로 75,127.0005888,37.59319822
일상,서울특별시 성북구 성북로 106,126.9972032,37.59308106
아릇간,서울특별시 성북구 화랑로18길 34,127.0496712,37.60574758
나를위한하루날위한커피,서울특별시 성북구 종암로9길 20,127.034412,37.59587816
스페이스바,서울특별시 성북구 보문로19길 7,127.0204465,37.58242959
씨유삼선동4가점,서울특별시 성북구 삼선교로 69,127.0132133,37.58937728
커피바실리아,서울특별시 성북구 고려대로 1,127.0196322,37.58559221
한라산도새기&커피팔다,서울특별시 성북구 아리랑로19길 79,127.0096256,37.60132477
이디야동덕여대점,서울특별시 성북구 화랑로 99,127.0426938,37.60348883
본카페,서울특별시 성북구 삼선교로 54,127.0117752,37.58849446
칼디카파,서울특별시 성북구 동소문로26다길 34,127.0205066,37.59530476
라운지223,서울특별시 성북구 장월로23길 47-3,127.046428,37.61701127
쎄제르카페,서울특별시 성북구 성북로18길 10,126.9997056,37.59382892
카페쿠피,서울특별시 성북구 보국문로 68,127.0094456,37.61046082
앙시엔,서울특별시 성북구 종암로34길 12,127.0324456,37.60490665
이디야커피석관동점,서울특별시 성북구 돌곶이로8길 22,127.0622652,37.60654349
이디아커피석계,서울특별시 성북구 화랑로40길 61,127.0649443,37.61377699
더로스팅,서울특별시 성북구 정릉로36길 88,127.0138498,37.60248663
올리브동소문점,서울특별시 성북구 동소문로17길 13,127.0147992,37.59308017
시와,서울특별시 성북구 동소문로23길 40-1,127.0166113,37.59503508
카페위로;한모금,서울특별시 성북구 고려대로5길 89,127.0178781,37.5890433
시스터커피,서울특별시 성북구 오패산로3길 38,127.0359452,37.60525702
커피에반하다돌곶이역점,서울특별시 성북구 돌곶이로23길 3,127.0575906,37.60993359
커피베이,서울특별시 성북구 월곡로 108,127.0415829,37.60159715
설빙,서울특별시 성북구 고려대로24길 14,127.0292105,37.5856533
스틸커피,서울특별시 성북구 고려대로8길 23,127.0216586,37.58488008
듀드롭르봉땅,서울특별시 성북구 서경로 79,127.0145195,37.61032516
드디어고려대점,서울특별시 성북구 안암로 145,127.0316913,37.58869802
베이커스코드,서울특별시 성북구 동소문로 9-1,127.0071558,37.58913453
커피앤,서울특별시 성북구 동소문로20나길 6,127.0169729,37.59185453
이디야커피하월곡동점,서울특별시 성북구 오패산로 16,127.0375638,37.60366176
수연산방,서울특별시 성북구 성북로26길 8,126.9948366,37.59505415
카,서울특별시 성북구 월곡로14길 24,127.0414687,37.59985827
놀숲고대,서울특별시 성북구 개운사길 8,127.0295733,37.58698668
공유KYOUYUU,서울특별시 성북구 보문로18길 10,127.0218729,37.58198785
빽다방돈암점,서울특별시 성북구 동소문로 113,127.0174602,37.59344921
스펙스커피바,서울특별시 성북구 동소문로 86-17,127.0152518,37.59151238
카페마노아CAFEMANOA,서울특별시 성북구 보문로34길 51,127.0181277,37.59092633
카페브랑코,서울특별시 성북구 화랑로 245,127.0565267,37.61089816
버클리쿠키,서울특별시 성북구 동소문로11길 5,127.0119116,37.59158485
탐앤탐스,서울특별시 성북구 동소문로22길 15,127.0178336,37.59237697
어나더에이치,서울특별시 성북구 장월로1길 56-9,127.0446093,37.60628119
길음로12,서울특별시 성북구 길음로 12,127.0237707,37.60453931
할리스커피,서울특별시 성북구 동소문로20가길 28,127.0179016,37.59275538
베브릿지고려대점,서울특별시 성북구 고려대로27길 19,127.0296753,37.58722091
왓플,서울특별시 성북구 북악산로 906,127.0223073,37.59601622
조이,서울특별시 성북구 지봉로24길 76,127.0204916,37.58188899
동소문피스커피,서울특별시 성북구 동소문로17길 29-2,127.0152862,37.59382793
유목,서울특별시 성북구 동소문로24길 47,127.0187619,37.59161099
모모양과,서울특별시 성북구 화랑로11길 23,127.0416745,37.60341711
커피명가안암점,서울특별시 성북구 안암로5길 40,127.0234915,37.58087931
델리35,서울특별시 성북구 삼선교로16길 35,127.0121375,37.58801689
디에스와이컴퍼니알루엣,서울특별시 성북구 서경로 60,127.015697,37.60873026
이디야커피장위,서울특별시 성북구 장위로 35,127.0407859,37.61446356
이디야,서울특별시 성북구 오패산로 99,127.0351663,37.61075329
카페더베러,서울특별시 성북구 회기로 7-1,127.0373199,37.59140836
펠리체,서울특별시 성북구 보국문로32길 5,127.0025485,37.61734473
매머드익스프레스MAMMOTHEXPRESS고대,서울특별시 성북구 개운사길 22-6,127.0296754,37.58734705
오오티,서울특별시 성북구 화랑로32가길 9,127.0559479,37.60920458
맨케이브커피,서울특별시 성북구 보문로34길 94,127.0205395,37.59123227
까페부오노,서울특별시 성북구 회기로 5-15,127.0370031,37.59200311
